epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.733,3.73818,3.90679,4.19897,0.00196,0.20517,0.00172,0.00052,3.78781,4.08892,4.14735,0.000650794,0.000650794,0.000650794
2,377.575,3.2788,3.54386,3.72845,0.00299,0.05345,0.00242,0.00073,4.21146,5.00251,4.98421,0.00129137,0.00129137,0.00129137
3,566.215,3.0118,3.28714,3.24375,0.04407,0.05345,0.01448,0.00421,2.94109,3.6186,3.309,0.00190556,0.00190556,0.00190556
4,759.599,2.85532,3.08534,3.027,0.08152,0.12184,0.04282,0.01224,2.83902,11.0838,3.8788,0.0018812,0.0018812,0.0018812
5,948.467,2.70315,2.92291,2.84649,0.11932,0.08276,0.04475,0.01469,2.65978,4.10977,2.93394,0.0018416,0.0018416,0.0018416
6,1142.75,2.59218,2.82238,2.72821,0.13579,0.14885,0.06225,0.02038,2.55684,5.25941,2.80054,0.001802,0.001802,0.001802
7,1331.25,2.47853,2.68161,2.61035,0.20083,0.14598,0.0939,0.02979,2.49673,2.91502,2.74277,0.0017624,0.0017624,0.0017624
8,1517.87,2.43557,2.65761,2.59059,0.25572,0.23046,0.15173,0.05172,2.33703,2.99676,2.60398,0.0017228,0.0017228,0.0017228
9,1705.89,2.35099,2.57845,2.53507,0.30287,0.24344,0.18799,0.0703,2.27832,2.59955,2.52505,0.0016832,0.0016832,0.0016832
10,1894.3,2.26727,2.44575,2.43314,0.31959,0.27642,0.21401,0.08207,2.14863,2.5122,2.40034,0.0016436,0.0016436,0.0016436
11,2079.95,2.23624,2.38059,2.41163,0.32752,0.27486,0.22783,0.09389,2.13515,2.51935,2.41772,0.001604,0.001604,0.001604
12,2268.49,2.15274,2.29859,2.35394,0.41203,0.32759,0.30853,0.12921,1.99917,2.78958,2.31492,0.0015644,0.0015644,0.0015644
13,2663.98,2.10683,2.19336,2.30313,0.41527,0.29655,0.28849,0.12255,2.0189,2.32962,2.28857,0.0015248,0.0015248,0.0015248
14,2860.44,2.06351,2.15231,2.25732,0.44368,0.37299,0.35998,0.16663,1.92804,2.5963,2.20724,0.0014852,0.0014852,0.0014852
15,3054.49,2.0298,2.12319,2.20316,0.4723,0.36667,0.37642,0.16526,1.95256,2.17158,2.22394,0.0014456,0.0014456,0.0014456
16,3242.14,1.99944,2.10379,2.20902,0.40757,0.32931,0.30658,0.13361,1.98465,2.49963,2.27097,0.001406,0.001406,0.001406
17,3432.36,1.93296,2.01263,2.15508,0.49678,0.42529,0.4339,0.20372,1.85735,2.01306,2.15546,0.0013664,0.0013664,0.0013664
18,3621.5,1.89693,1.94061,2.11262,0.48416,0.40402,0.41862,0.20566,1.80979,2.0403,2.1217,0.0013268,0.0013268,0.0013268
19,3806.77,1.84923,1.89162,2.08303,0.49845,0.43103,0.45611,0.22197,1.75481,1.95161,2.09028,0.0012872,0.0012872,0.0012872
20,3993.94,1.85449,1.89448,2.09394,0.56028,0.45115,0.50019,0.23806,1.78335,1.94835,2.06635,0.0012476,0.0012476,0.0012476
21,4181.1,1.83161,1.88339,2.07142,0.56488,0.46954,0.50574,0.2471,1.73288,1.85258,2.02323,0.001208,0.001208,0.001208
22,4366.18,1.81183,1.80709,2.03344,0.59227,0.50172,0.54426,0.28774,1.65643,1.77384,1.97278,0.0011684,0.0011684,0.0011684
23,4554.26,1.79226,1.78384,2.00929,0.63553,0.49023,0.55282,0.29142,1.70095,1.78562,1.98496,0.0011288,0.0011288,0.0011288
24,4741.95,1.75004,1.73946,1.96154,0.63844,0.5135,0.58613,0.31027,1.61678,1.75983,1.9132,0.0010892,0.0010892,0.0010892
25,4929.29,1.79162,1.80537,1.99148,0.62991,0.51092,0.58286,0.31733,1.64,1.66422,1.94315,0.0010496,0.0010496,0.0010496
26,5114.42,1.73566,1.70764,1.92493,0.65966,0.5477,0.61636,0.33017,1.63222,1.69093,1.91688,0.00101,0.00101,0.00101
27,5302.23,1.74566,1.72133,1.95367,0.64663,0.53319,0.6023,0.3217,1.60055,1.67752,1.88553,0.0009704,0.0009704,0.0009704
28,5489.87,1.69154,1.63897,1.92223,0.69392,0.58046,0.66283,0.34958,1.59644,1.55754,1.87443,0.0009308,0.0009308,0.0009308
29,5674.83,1.69545,1.63285,1.90653,0.69839,0.56149,0.6521,0.36185,1.54688,1.51559,1.8313,0.0008912,0.0008912,0.0008912
30,5863.31,1.69915,1.62804,1.90329,0.69026,0.56839,0.64921,0.3503,1.58993,1.51241,1.86245,0.0008516,0.0008516,0.0008516
31,6049.41,1.6512,1.61364,1.87846,0.69535,0.60977,0.68411,0.38527,1.51975,1.47284,1.81376,0.000812,0.000812,0.000812
