epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.838,1.59074,2.4802,1.47997,0.93715,0.05999,0.2678,0.14683,1.5105,3.10266,1.44842,0.000650794,0.000650794,0.000650794
2,372.684,1.5669,1.92572,1.43848,0.35722,0.29138,0.22425,0.11596,1.58631,2.66397,1.5805,0.00129137,0.00129137,0.00129137
3,556.535,1.57278,1.82675,1.44223,0.35026,0.30424,0.26828,0.12603,1.85218,2.93193,1.95181,0.00190556,0.00190556,0.00190556
4,741.348,1.58465,1.77853,1.47064,0.38245,0.37241,0.30059,0.13671,1.79118,2.89243,1.81845,0.0018812,0.0018812,0.0018812
5,922.911,1.52503,1.58591,1.43221,0.63811,0.43778,0.51245,0.26546,1.74565,1.96065,1.68687,0.0018416,0.0018416,0.0018416
6,1104.77,1.53943,1.54379,1.44663,0.67863,0.57524,0.64344,0.36637,1.45001,1.56921,1.36111,0.001802,0.001802,0.001802
7,1285.56,1.4643,1.53688,1.38441,0.60652,0.48448,0.53436,0.29125,1.56194,1.78192,1.48293,0.0017624,0.0017624,0.0017624
8,1467.14,1.48986,1.49536,1.38683,0.66877,0.58018,0.63535,0.34936,1.5069,1.60889,1.40592,0.0017228,0.0017228,0.0017228
9,1647.52,1.44357,1.43671,1.36808,0.61306,0.59943,0.62892,0.35273,1.48583,1.50574,1.37817,0.0016832,0.0016832,0.0016832
10,1828.48,1.41895,1.36623,1.35973,0.67705,0.57816,0.64722,0.3677,1.43302,1.58396,1.37157,0.0016436,0.0016436,0.0016436
11,2008.93,1.45411,1.3946,1.36973,0.67194,0.55561,0.6276,0.36655,1.44385,1.6672,1.36986,0.001604,0.001604,0.001604
12,2189.58,1.38994,1.29776,1.33029,0.72643,0.66552,0.74049,0.43934,1.39176,1.30834,1.35044,0.0015644,0.0015644,0.0015644
13,2370.53,1.38629,1.27853,1.34421,0.77833,0.70024,0.79271,0.50425,1.23805,1.1891,1.23814,0.0015248,0.0015248,0.0015248
14,2552,1.36307,1.24855,1.30858,0.78243,0.68448,0.78316,0.47761,1.29907,1.30417,1.29716,0.0014852,0.0014852,0.0014852
15,2732.64,1.35166,1.2082,1.28781,0.80018,0.65575,0.76407,0.46817,1.33227,1.2163,1.28146,0.0014456,0.0014456,0.0014456
16,2913.29,1.32434,1.20561,1.30768,0.75596,0.69943,0.78768,0.49811,1.2632,1.14725,1.2598,0.001406,0.001406,0.001406
17,3094.22,1.29939,1.1525,1.27916,0.78126,0.73506,0.81553,0.52637,1.21709,1.11773,1.22688,0.0013664,0.0013664,0.0013664
18,3276.27,1.29873,1.1102,1.27037,0.81469,0.76304,0.84628,0.55722,1.17183,1.00823,1.20782,0.0013268,0.0013268,0.0013268
19,3457.53,1.29541,1.10992,1.26705,0.80749,0.73276,0.82842,0.54625,1.1872,1.01354,1.20209,0.0012872,0.0012872,0.0012872
20,3638.23,1.31588,1.12129,1.27966,0.80825,0.72299,0.8192,0.53681,1.20941,1.02767,1.20423,0.0012476,0.0012476,0.0012476
21,3819.77,1.27466,1.09313,1.26499,0.81458,0.75747,0.84337,0.55999,1.18022,1.03307,1.1893,0.001208,0.001208,0.001208
22,4000.3,1.25801,1.05955,1.2472,0.85209,0.73851,0.84917,0.56417,1.1588,0.97501,1.16662,0.0011684,0.0011684,0.0011684
23,4181.12,1.23991,1.05232,1.23302,0.82072,0.7656,0.86033,0.58238,1.13094,0.92034,1.16344,0.0011288,0.0011288,0.0011288
